"","CONTROL","TESTERID","SEQRH","HSITEAD","HSITETYP","HUNITNO","HCITY","HSTATE","HZIP","HADHOME","HINSPCT","HBEDRMS","HHMTYPE","HHMNEW","HINTCON","HEXTCON","HNOIS","HSAFE","HSCHL","HINVS","HPUBS","HRACE","HRACETX","RACEID","COMP","RELEASE","HPRICE","DELREC","HINT1","HINT2","HINT3","HINT4","HEXT1","HEXT2","HEXT3","HEXT4"
"1","AQ-SA-0101-1","AQ037",1,"4320 Derringer Ct SW",NA,"","Albuquerque","NM","87121",0,1,4,1,NA,NA,NA,3,3,3,4,3,0,"",24,1,"",179380,-1,0,0,0,NA,0,0,0,NA
"2","AQ-SA-0101-1","AQ037",2,"4507 Sorrel Ln SW",NA,"","Albuquerque","NM","87105",0,1,4,1,NA,NA,NA,3,3,3,3,3,0,"",24,1,"",137500,-1,1,0,1,NA,0,0,0,NA
"3","AQ-SA-0101-1","AQ037",3,"4615 Valley Park Dr SW",NA,"","Albuquerque","NM","87105",1,1,4,1,NA,NA,NA,3,3,3,4,3,0,"",24,1,"",128000,-1,1,1,0,NA,0,0,0,NA
"4","AQ-SA-0404-1","AQ005",1,"22 Loma Verde Dr.",NA,"","Tijeras","NM","87059",1,1,4,1,NA,NA,NA,3,3,3,4,3,0,"",21,1,"",475000,-1,0,0,0,NA,0,0,0,NA
"5","AQ-SA-0405-1","AQ008",1,"6348 Avenida Madrid NW",NA,"","Albuquerque","NM","87114",1,1,3,1,NA,NA,NA,3,1,3,4,1,0,"",11,1,"",155750,-1,0,0,0,NA,0,0,0,NA
"6","AQ-SA-0405-1","AQ008",2,"10443 Bilboa NW",NA,"","Albuquerque","NM","87114",0,1,3,1,NA,NA,NA,3,1,1,4,3,0,"",11,1,"",160000,-1,0,0,0,NA,0,0,0,NA
"7","AQ-SA-0405-1","AQ008",3,"6219 Castle Dome Pl NW",NA,"","Albuquerque","NM","87114",0,0,3,1,NA,NA,NA,2,1,3,4,3,0,"",11,1,"",160000,-1,0,0,0,NA,0,0,0,NA
"8","AQ-SA-0405-1","AQ085",1,"6348 Avenida Madrid",NA,"","Albuquerque","NM","87114",1,1,3,1,NA,NA,NA,3,1,1,4,1,0,"",24,1,"",155750,-1,0,0,0,NA,0,0,0,NA
"9","AQ-SA-0406-1","AQ070",1,"612 7th St.",NA,"","Albuquerque","NM","87124",1,1,4,1,NA,NA,NA,3,1,1,4,1,0,"",14,1,"",310000,-1,0,0,0,NA,0,0,0,NA
"10","AQ-SA-0406-1","AQ070",2,"613 7th St NE",NA,"","Rio Rancho","NM","87124",0,1,5,1,NA,NA,NA,3,1,1,4,1,0,"",14,1,"",279000,-1,0,0,0,NA,0,0,0,NA
